Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
43.56,0.0141841,0,0,0.12,0,50,0
43.68,0.0019332,0,0,0.12,0,50,0
43.8,0.000986636,0,0,0.12,0,50,0
43.92,0.0113659,0,0,0.12,0,50,0
44.04,0.0328355,0,0,0.12,0,50,0
44.16,0.0649081,0,0,0.12,0,50,0
44.28,0.106856,0,0,0.12,0,50,0
44.4,0.157726,0,0,0.12,0,50,0
44.52,0.216366,0,0,0.12,0,50,0
44.64,0.281442,0,0,0.12,0,50,0
44.76,0.351479,0,0,0.12,0,50,0
44.88,0.424887,0,0,0.12,0,50,0
45,0.5,0,0,0.12,0,50,0
45,0.5,0,0,0.12,0,50,0
45,0.5,1,1,0.12,0.12,50,50
45.12,0.575113,1,1,0.12,0.12,50,50
45.24,0.648521,1,1,0.12,0.12,50,50
45.36,0.718558,1,1,0.12,0.12,50,50
45.48,0.783634,1,1,0.12,0.12,50,50
45.6,0.842274,1,1,0.12,0.12,50,50
45.72,0.893144,1,1,0.12,0.12,50,50
45.84,0.935092,1,1,0.12,0.12,50,50
45.96,0.967164,1,1,0.12,0.12,50,50
46.08,0.988634,1,1,0.12,0.12,50,50
46.2,0.999013,1,1,0.12,0.12,50,50
46.32,0.998067,1,1,0.12,0.12,50,50
46.44,0.985816,1,1,0.12,0.12,50,50
46.56,0.962539,1,1,0.12,0.12,50,50
46.68,0.928763,1,1,0.12,0.12,50,50
46.8,0.885257,1,1,0.12,0.12,50,50
46.92,0.833006,1,1,0.12,0.12,50,50
47.04,0.773197,1,1,0.12,0.12,50,50
47.16,0.707188,1,1,0.12,0.12,50,50
47.28,0.636476,1,1,0.12,0.12,50,50
47.4,0.562667,1,1,0.12,0.12,50,50
47.5,0.5,1,1,0.12,0.12,50,50
47.5,0.5,0,0,0.12,0,50,0
47.52,0.487435,0,0,0.12,0,50,0
47.64,0.412488,0,0,0.12,0,50,0
47.76,0.339528,0,0,0.12,0,50,0
47.88,0.27021,0,0,0.12,0,50,0
48,0.206107,0,0,0.12,0,50,0
48.12,0.148675,0,0,0.12,0,50,0
48.24,0.0992165,0,0,0.12,0,50,0
48.36,0.0588544,0,0,0.12,0,50,0
48.48,0.0285047,0,0,0.12,0,50,0
48.6,0.00885637,0,0,0.12,0,50,0
48.72,0.000355264,0,0,0.12,0,50,0
48.84,0.00319434,0,0,0.12,0,50,0
48.96,0.0173092,0,0,0.12,0,50,0
49.08,0.0423794,0,0,0.12,0,50,0
49.2,0.077836,0,0,0.12,0,50,0
49.32,0.122874,0,0,0.12,0,50,0
49.44,0.176472,0,0,0.12,0,50,0
49.56,0.237413,0,0,0.12,0,50,0
49.68,0.304313,0,0,0.12,0,50,0
49.8,0.375655,0,0,0.12,0,50,0
49.92,0.449819,0,0,0.12,0,50,0
50,0.5,0,0,0.12,0,50,0
50,0.5,1,1,0.12,0.12,50,50
50.04,0.525122,1,1,0.12,0.12,50,50
50.16,0.599855,1,1,0.12,0.12,50,50
50.28,0.672321,1,1,0.12,0.12,50,50
50.4,0.740877,1,1,0.12,0.12,50,50
50.52,0.803965,1,1,0.12,0.12,50,50
50.64,0.860155,1,1,0.12,0.12,50,50
50.76,0.90817,1,1,0.12,0.12,50,50
50.88,0.946921,1,1,0.12,0.12,50,50
51,0.975528,1,1,0.12,0.12,50,50
51.12,0.993343,1,1,0.12,0.12,50,50
51.24,0.999961,1,1,0.12,0.12,50,50
51.36,0.995231,1,1,0.12,0.12,50,50
51.48,0.979261,1,1,0.12,0.12,50,50
51.6,0.952413,1,1,0.12,0.12,50,50
51.72,0.915298,1,1,0.12,0.12,50,50
51.84,0.868757,1,1,0.12,0.12,50,50
51.96,0.813846,1,1,0.12,0.12,50,50
52.08,0.751812,1,1,0.12,0.12,50,50
52.2,0.684062,1,1,0.12,0.12,50,50
52.32,0.612135,1,1,0.12,0.12,50,50
52.44,0.537663,1,1,0.12,0.12,50,50
52.5,0.5,1,1,0.12,0.12,50,50
52.5,0.5,0,0,0.12,0,50,0
52.56,0.462337,0,0,0.12,0,50,0
52.68,0.387865,0,0,0.12,0,50,0
52.8,0.315938,0,0,0.12,0,50,0
52.92,0.248188,0,0,0.12,0,50,0
53.04,0.186154,0,0,0.12,0,50,0
53.16,0.131243,0,0,0.12,0,50,0
53.28,0.0847021,0,0,0.12,0,50,0
53.4,0.0475865,0,0,0.12,0,50,0
53.52,0.0207391,0,0,0.12,0,50,0
53.64,0.00476929,0,0,0.12,0,50,0
53.76,3.94779e-005,0,0,0.12,0,50,0
53.88,0.00665703,0,0,0.12,0,50,0
54,0.0244717,0,0,0.12,0,50,0
54.12,0.0530793,0,0,0.12,0,50,0
54.24,0.0918304,0,0,0.12,0,50,0
54.36,0.139845,0,0,0.12,0,50,0
54.48,0.196035,0,0,0.12,0,50,0
54.6,0.259123,0,0,0.12,0,50,0
54.72,0.327679,0,0,0.12,0,50,0
54.84,0.400145,0,0,0.12,0,50,0
54.96,0.474878,0,0,0.12,0,50,0
55,0.5,0,0,0.12,0,50,0
55,0.5,1,1,0.12,0.12,50,50
55.08,0.550181,1,1,0.12,0.12,50,50
55.2,0.624345,1,1,0.12,0.12,50,50
55.32,0.695687,1,1,0.12,0.12,50,50
55.44,0.762587,1,1,0.12,0.12,50,50
55.56,0.823528,1,1,0.12,0.12,50,50
55.68,0.877126,1,1,0.12,0.12,50,50
55.8,0.922164,1,1,0.12,0.12,50,50
55.92,0.957621,1,1,0.12,0.12,50,50
56.04,0.982691,1,1,0.12,0.12,50,50
56.16,0.996806,1,1,0.12,0.12,50,50
56.28,0.999645,1,1,0.12,0.12,50,50
56.4,0.991144,1,1,0.12,0.12,50,50
56.52,0.971495,1,1,0.12,0.12,50,50
56.64,0.941146,1,1,0.12,0.12,50,50
