Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
666,4.0823,52,0.12,-3007.88,4184.78,8
668,3.89449,52,0.12,-3019.66,4184.78,8
670,3.7108,52,0.12,-3031.2,4184.78,8
672,3.53126,52,0.12,-3042.47,4184.78,8
674,3.35591,52,0.12,-3053.47,4184.78,8
676,3.18476,52,0.12,-3064.22,4184.78,8
678,3.01784,52,0.12,-3074.69,4184.78,8
680,2.85519,52,0.12,-3084.9,4184.78,8
682,2.69682,52,0.12,-3094.84,4184.78,8
684,2.54276,52,0.12,-3104.51,4184.78,8
686,2.39304,52,0.12,-3113.91,4184.78,8
688,2.24768,52,0.12,-3123.04,4184.78,8
690,2.10671,52,0.12,-3131.89,4184.78,8
692,1.97013,52,0.12,-3140.46,4184.78,8
694,1.83798,52,0.12,-3148.75,4184.78,8
696,1.71028,52,0.12,-3156.77,4184.78,8
698,1.58705,52,0.12,-3164.51,4184.78,8
700,1.4683,52,0.12,-3171.96,4184.78,8
702,1.35406,52,0.12,-3179.13,4184.78,8
704,1.24435,52,0.12,-3186.02,4184.78,8
706,1.13917,52,0.12,-3192.62,4184.78,8
708,1.03855,52,0.12,-3198.94,4184.78,8
710,0.942505,52,0.12,-3204.97,4184.78,8
712,0.851048,52,0.12,-3210.71,4184.78,8
714,0.764194,52,0.12,-3216.16,4184.78,8
716,0.681956,52,0.12,-3221.32,4184.78,8
718,0.604348,52,0.12,-3226.19,4184.78,8
720,0.531383,52,0.12,-3230.77,4184.78,8
722,0.46307,52,0.12,-3235.06,4184.78,8
724,0.399422,52,0.12,-3239.06,4184.78,8
726,0.340448,52,0.12,-3242.76,4184.78,8
728,0.286157,52,0.12,-3246.17,4184.78,8
730,0.236559,52,0.12,-3249.28,4184.78,8
732,0.191661,52,0.12,-3252.1,4184.78,8
734,0.151469,52,0.12,-3254.62,4184.78,8
736,0.115992,52,0.12,-3256.85,4184.78,8
738,0.085233,52,0.12,-3258.78,4184.78,8
740,0.0591981,52,0.12,-3260.41,4184.78,8
742,0.0378913,52,0.12,-3261.75,4184.78,8
744,0.0213158,52,0.12,-3262.79,4184.78,8
746,0.00947432,52,0.12,-3263.53,4184.78,8
748,0.00236867,52,0.12,-3263.98,4184.78,8
750,0,52,0.12,-3264.13,4184.78,8
752,0.00236867,52,0.12,-3263.98,4184.78,8
754,0.00947432,52,0.12,-3263.53,4184.78,8
756,0.0213158,52,0.12,-3262.79,4184.78,8
758,0.0378913,52,0.12,-3261.75,4184.78,8
760,0.0591981,52,0.12,-3260.41,4184.78,8
762,0.085233,52,0.12,-3258.78,4184.78,8
764,0.115992,52,0.12,-3256.85,4184.78,8
