Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
1920.948	73.00388889	58.80933333	1325.245111	12.70044444
1925.466	73.00388889	58.74711111	1325.276222	12.79377778
1930.47	72.81711111	58.65372222	1325.276222	12.79377778
1935.48	72.84822222	58.65372222	1325.245111	12.70044444
1940.49	72.81711111	58.59144444	1325.245111	12.70044444
1945.506	72.81711111	58.46694444	1325.245111	12.70044444
1950.51	72.81711111	58.46694444	1325.214	12.73155556
1955.52	72.63033333	58.40466667	1325.276222	12.79377778
1960.53	72.63033333	58.28016667	1325.276222	12.79377778
1965.546	72.66144444	58.24905556	1325.276222	12.79377778
1970.55	72.35016667	58.21788889	1325.245056	12.82494444
1975.56	72.31905556	58.15566667	1325.307389	12.63816667
1980.576	72.44355556	58.09338889	1325.369611	12.82483333
1985.586	72.41244444	58.03116667	1325.431889	13.01166667
1990.59	72.47472222	58.03116667	1325.307333	12.88711111
1995.768	72.47472222	58.03116667	1325.276222	12.79377778
2000.784	72.13227778	58	1325.307333	12.88711111
2005.794	72.22566667	58	1325.369611	13.07394444
2010.798	72.25683333	57.96888889	1325.400722	13.04283333
2015.814	72.13227778	57.96888889	1325.245111	12.70044444
2020.824	72.00777778	57.8755	1325.276222	12.54466667
2025.834	72.03888889	57.81322222	1325.245111	12.70044444
2030.838	71.6965	57.78211111	1325.276222	12.79377778
2035.854	71.821	57.68872222	1325.307333	12.88711111
2040.864	71.85216667	57.68872222	1325.369611	12.82483333
2045.868	71.85216667	57.62644444	1325.338444	12.856
2050.878	71.91438889	57.59533333	1325.307333	12.88711111
2055.894	71.821	57.59533333	1325.245056	12.82494444
2060.904	71.72761111	57.50194444	1325.213944	12.73161111
2065.95	71.72761111	57.47077778	1325.307389	12.63816667
2070.954	71.72761111	57.47077778	1325.307333	12.76266667
2075.472	71.72761111	57.47077778	1325.245111	12.70044444
2080.476	71.6965	57.40855556	1325.213944	12.60694444
2085.486	71.41633333	57.43966667	1325.213944	12.60694444
2090.496	71.50972222	57.40855556	1325.276222	12.54466667
2095.512	71.38516667	57.37744444	1325.307389	12.63816667
2100.516	71.19844444	57.40855556	1325.307389	12.76261111
2105.526	71.32294444	57.34627778	1325.307389	12.76261111
2110.542	71.22955556	57.25288889	1325.276278	12.79372222
2115.552	71.19844444	57.25288889	1325.307389	12.76261111
2120.556	71.19844444	57.19066667	1325.245111	12.57577778
2125.566	71.32294444	57.19066667	1325.245111	12.57577778
2130.582	71.29183333	57.19066667	1325.245111	12.57577778
